"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"08430099999","2023-01-01","38.0","-1.1666666","62.0","MURCIA, SP","  51.2","24","  38.4","24","1025.6","24","018.0","24","  9.3","24","  1.9","24","  2.9","999.9","  66.6"," ","  39.7"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-02","38.0","-1.1666666","62.0","MURCIA, SP","  53.7","24","  40.0","24","1024.8","24","017.2","24"," 10.2","24","  1.9","24","  4.1","999.9","  71.2"," ","  41.9","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-03","38.0","-1.1666666","62.0","MURCIA, SP","  54.6","24","  47.5","24","1029.5","24","021.9","24","  7.5","24","  2.0","24","  4.1","999.9","  69.3"," ","  44.8"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-04","38.0","-1.1666666","62.0","MURCIA, SP","  53.5","24","  47.9","24","1033.5","24","025.8","24","  5.9","23","  2.6","24","  5.1","999.9","  63.7"," ","  45.9"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-05","38.0","-1.1666666","62.0","MURCIA, SP","  51.6","24","  44.4","24","1030.0","24","022.4","24","  7.6","24","  2.0","24","  4.1","999.9","  64.9"," ","  43.2"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-06","38.0","-1.1666666","62.0","MURCIA, SP","  50.9","24","  42.9","24","1026.3","24","018.7","24","  7.8","24","  2.3","24","  5.1","999.9","  66.9"," ","  37.9","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-07","38.0","-1.1666666","62.0","MURCIA, SP","  51.3","24","  40.3","24","1024.6","24","017.0","24"," 10.5","24","  2.8","24","  6.0","999.9","  67.3"," ","  38.7","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-08","38.0","-1.1666666","62.0","MURCIA, SP","  54.3","24","  45.0","24","1019.0","24","011.5","24","  8.9","24","  2.6","24","  8.0","999.9","  70.9"," ","  42.3"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-09","38.0","-1.1666666","62.0","MURCIA, SP","  65.6","24","  48.1","24","1021.5","24","014.1","24"," 12.2","24","  5.2","24"," 11.1","999.9","  76.5"," ","  53.8","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-10","38.0","-1.1666666","62.0","MURCIA, SP","  58.9","24","  46.1","24","1028.3","24","020.8","24"," 12.2","24","  2.4","24","  5.1","999.9","  73.2"," ","  48.7","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-11","38.0","-1.1666666","62.0","MURCIA, SP","  56.8","23","  44.1","23","1026.6","23","019.0","23"," 12.5","23","  6.2","23"," 12.0","999.9","  70.2"," ","  45.0"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-12","38.0","-1.1666666","62.0","MURCIA, SP","  56.2","24","  45.9","24","1028.8","24","021.2","24"," 12.6","24","  2.1","24","  4.1","999.9","  67.1","*","  48.6"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-13","38.0","-1.1666666","62.0","MURCIA, SP","  53.6","23","  40.0","23","1027.2","23","019.6","23"," 13.3","23","  4.0","23","  8.9","999.9","  69.6"," ","  45.0"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-14","38.0","-1.1666666","62.0","MURCIA, SP","  51.0","24","  38.5","24","1027.0","24","019.4","24"," 12.5","24","  2.2","24","  4.1","999.9","  68.5"," ","  39.4","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-15","38.0","-1.1666666","62.0","MURCIA, SP","  55.7","24","  38.4","24","1021.5","24","014.0","24"," 12.1","24","  4.5","24"," 13.0","999.9","  73.0"," ","  40.3","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-16","38.0","-1.1666666","62.0","MURCIA, SP","  56.5","24","  37.0","24","1015.5","24","008.1","24"," 12.0","24","  6.0","24"," 12.0","999.9","  69.4"," ","  44.2"," "," 0.00","G","999.9","000000"
"08430099999","2023-01-17","38.0","-1.1666666","62.0","MURCIA, SP","  63.4","23","  36.9","23","1003.2","23","995.9","23"," 11.7","23","  9.4","23"," 17.1","999.9","  74.3"," ","  53.6","*"," 0.00","G","999.9","000000"
"08430099999","2023-01-18","38.0","-1.1666666","62.0","MURCIA, SP","  51.2","24","  31.3","24","1009.2","24","001.7","24"," 12.8","24"," 11.0","24"," 22.9","999.9","  57.0"," ","  43.5"," "," 0.03","G","999.9","010000"
