"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01436099999","2023-01-12","57.9833333","7.05","13.0","LINDESNES FYR, NO","  43.9"," 6","  40.9"," 6","9999.9"," 0","999.9"," 0","999.9"," 0"," 14.3"," 6"," 15.7"," 22.3","  44.6"," ","  43.5"," "," 0.00","I","999.9","000000"
"01436099999","2023-01-22","57.9833333","7.05","13.0","LINDESNES FYR, NO","  35.6"," 4","  28.9"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  9.7"," 4"," 10.9"," 20.6","  36.5"," ","  34.2"," "," 0.00","I","999.9","000000"
"01436099999","2023-01-25","57.9833333","7.05","13.0","LINDESNES FYR, NO","  44.4"," 5","  44.0"," 5","9999.9"," 0","999.9"," 0","999.9"," 0"," 22.6"," 5"," 24.5"," 31.5","  44.6"," ","  44.1"," "," 0.00","I","999.9","100000"
"01436099999","2023-02-14","57.9833333","7.05","13.0","LINDESNES FYR, NO","  43.2","11","  37.5","11","9999.9"," 0","999.9"," 0","999.9"," 0","  8.3","11"," 11.3"," 15.5","  44.2"," ","  42.3"," "," 0.00","I","999.9","000000"
"01436099999","2023-03-01","57.9833333","7.05","13.0","LINDESNES FYR, NO","  40.9"," 5","  31.0"," 5","9999.9"," 0","999.9"," 0","999.9"," 0","  5.4"," 5","  9.9"," 13.0","  43.7","*","  36.1"," "," 0.00","I","999.9","000000"
"01436099999","2023-03-09","57.9833333","7.05","13.0","LINDESNES FYR, NO","  32.5"," 4","  25.1"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  7.8"," 4"," 17.1"," 21.6","  35.8"," ","  28.9"," "," 0.00","I","999.9","000000"
"01436099999","2023-03-21","57.9833333","7.05","13.0","LINDESNES FYR, NO","  38.8"," 4","  34.7"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.6"," 4"," 21.2"," 27.8","  41.0"," ","  36.5"," "," 0.00","I","999.9","000000"
"01436099999","2023-03-22","57.9833333","7.05","13.0","LINDESNES FYR, NO","  41.5"," 7","  40.5"," 7","9999.9"," 0","999.9"," 0","999.9"," 0","  9.6"," 7"," 14.6"," 22.5","  43.7"," ","  40.1"," ","99.99"," ","999.9","010000"
"01436099999","2023-03-24","57.9833333","7.05","13.0","LINDESNES FYR, NO","  41.5"," 4","  40.7"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 15.4"," 4"," 23.1"," 31.1","  42.3"," ","  41.0"," ","99.99"," ","999.9","010000"
"01436099999","2023-03-27","57.9833333","7.05","13.0","LINDESNES FYR, NO","  35.6"," 4","  26.9"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 16.4"," 4"," 21.4"," 31.3","  36.0"," ","  33.6"," "," 0.00","I","999.9","000000"
"01436099999","2023-04-03","57.9833333","7.05","13.0","LINDESNES FYR, NO","  37.6"," 4","  32.0"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  7.4"," 4","  9.1"," 15.7","  42.1"," ","  33.4"," "," 0.00","I","999.9","000000"
"01436099999","2023-04-04","57.9833333","7.05","13.0","LINDESNES FYR, NO","  38.5"," 4","  27.7"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  3.4"," 4","  4.3"," 11.7","  42.8","*","  36.0","*"," 0.00","I","999.9","000000"
"01436099999","2023-04-29","57.9833333","7.05","13.0","LINDESNES FYR, NO","  43.2"," 5","  34.3"," 5","9999.9"," 0","999.9"," 0","999.9"," 0"," 20.2"," 5"," 28.9"," 40.8","  47.3"," ","  41.4","*"," 0.00","I","999.9","000000"
"01436099999","2023-05-06","57.9833333","7.05","13.0","LINDESNES FYR, NO","  45.4"," 4","  32.7"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 25.2"," 4"," 29.9"," 39.4","  47.7"," ","  43.3"," "," 0.00","I","999.9","000000"
"01436099999","2023-05-19","57.9833333","7.05","13.0","LINDESNES FYR, NO","  50.1"," 6","  44.4"," 6","9999.9"," 0","999.9"," 0","999.9"," 0","  7.2"," 6"," 11.1"," 12.8","  54.5"," ","  47.1"," "," 0.00","I","999.9","000000"
"01436099999","2023-05-20","57.9833333","7.05","13.0","LINDESNES FYR, NO","  50.5"," 4","  47.1"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  6.8"," 4"," 10.3"," 15.2","  52.9"," ","  47.8"," "," 0.00","I","999.9","000000"
"01436099999","2023-05-23","57.9833333","7.05","13.0","LINDESNES FYR, NO","  53.1"," 4","  46.0"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 15.8"," 4"," 18.1"," 25.3","  58.8"," ","  50.4","*"," 0.00","I","999.9","000000"
"01436099999","2023-06-14","57.9833333","7.05","13.0","LINDESNES FYR, NO","  62.5"," 4","  53.1"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  6.8"," 4"," 10.5"," 11.8","  66.4"," ","  58.3"," "," 0.00","I","999.9","000000"
"01436099999","2023-06-16","57.9833333","7.05","13.0","LINDESNES FYR, NO","  66.7"," 4","  56.0"," 4","9999.9"," 0","999.9"," 0","999.9"," 0","  4.7"," 4","  6.6"," 10.5","  70.3"," ","  63.9"," "," 0.00","I","999.9","000000"
"01436099999","2023-06-26","57.9833333","7.05","13.0","LINDESNES FYR, NO","  57.8"," 6","  55.4"," 6","9999.9"," 0","999.9"," 0","999.9"," 0"," 21.5"," 6"," 30.5"," 38.5","  61.5"," ","  56.5"," ","99.99"," ","999.9","010000"
"01436099999","2023-06-27","57.9833333","7.05","13.0","LINDESNES FYR, NO","  55.8"," 6","  51.8"," 6","9999.9"," 0","999.9"," 0","999.9"," 0"," 26.0"," 6"," 28.2"," 36.5","  57.0"," ","  53.4"," "," 0.00","I","999.9","000000"
"01436099999","2023-07-05","57.9833333","7.05","13.0","LINDESNES FYR, NO","  53.3"," 5","  48.7"," 5","9999.9"," 0","999.9"," 0","999.9"," 0","  4.8"," 5","  6.8"," 13.4","  57.0"," ","  49.8"," "," 0.00","I","999.9","000000"
"01436099999","2023-07-22","57.9833333","7.05","13.0","LINDESNES FYR, NO","  56.9"," 4","  51.3"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 16.9"," 4"," 19.0"," 24.3","  59.2"," ","  54.9"," "," 0.00","I","999.9","000000"
"01436099999","2023-07-26","57.9833333","7.05","13.0","LINDESNES FYR, NO","  57.0"," 6","  54.5"," 6","9999.9"," 0","999.9"," 0","999.9"," 0"," 24.2"," 6"," 32.1"," 39.2","  57.9"," ","  55.0"," "," 0.00","I","999.9","000000"
"01436099999","2023-07-28","57.9833333","7.05","13.0","LINDESNES FYR, NO","  57.3"," 6","  53.6"," 6","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.2"," 5"," 16.3"," 19.2","  61.0"," ","  54.0"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-03","57.9833333","7.05","13.0","LINDESNES FYR, NO","  62.5"," 5","  56.2"," 5","9999.9"," 0","999.9"," 0","999.9"," 0"," 14.0"," 5"," 22.3"," 27.2","  66.0"," ","  57.4"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-04","57.9833333","7.05","13.0","LINDESNES FYR, NO","  60.6"," 4","  54.8"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 21.9"," 4"," 28.7"," 37.3","  63.1"," ","  58.5"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-06","57.9833333","7.05","13.0","LINDESNES FYR, NO","  57.3"," 4","  51.8"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 10.0"," 4"," 15.7"," 18.5","  62.2"," ","  53.4"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-07","57.9833333","7.05","13.0","LINDESNES FYR, NO","  58.0"," 4","  53.6"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 21.9"," 4"," 39.6"," 49.0","  59.5"," ","  56.1"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-08","57.9833333","7.05","13.0","LINDESNES FYR, NO","  53.5"," 5","  48.5"," 5","9999.9"," 0","999.9"," 0","999.9"," 0"," 43.5"," 5"," 46.8"," 60.2","  55.4"," ","  51.8"," "," 0.00","I","999.9","000000"
"01436099999","2023-08-12","57.9833333","7.05","13.0","LINDESNES FYR, NO","  59.7"," 4","  57.7"," 4","9999.9"," 0","999.9"," 0","999.9"," 0"," 11.0"," 4"," 13.4"," 16.7","  60.4"," ","  58.5"," "," 0.00","I","999.9","000000"
