"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"04130099999","2023-01-01","64.1333333","-21.9","53.0","REYKJAVIK, IC","  21.9","24","  16.3","24"," 991.7","24","999.9"," 0","999.9"," 0","  6.7","24"," 15.9","999.9","  29.3"," ","  12.7"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-02","64.1333333","-21.9","53.0","REYKJAVIK, IC","  33.9","24","  29.2","24"," 990.0","24","999.9"," 0","999.9"," 0","  8.4","24"," 14.0","999.9","  37.4"," ","  29.5"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-03","64.1333333","-21.9","53.0","REYKJAVIK, IC","  29.0","24","  22.2","24"," 994.7","24","999.9"," 0","999.9"," 0","  4.5","24","  8.0","999.9","  35.2"," ","  21.6"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-04","64.1333333","-21.9","53.0","REYKJAVIK, IC","  22.0","24","  16.2","24","1004.6","24","999.9"," 0","999.9"," 0","  2.9","24","  5.1","999.9","  27.7"," ","  15.8"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-05","64.1333333","-21.9","53.0","REYKJAVIK, IC","  17.9","24","  10.2","24","1005.6","24","999.9"," 0","999.9"," 0","  2.8","24","  6.0","999.9","  21.7"," ","  14.5"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-06","64.1333333","-21.9","53.0","REYKJAVIK, IC","  22.5","24","  13.8","24"," 997.6","23","999.9"," 0","999.9"," 0","  3.5","24","  9.9","999.9","  30.9"," ","  13.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-07","64.1333333","-21.9","53.0","REYKJAVIK, IC","  28.4","24","  19.7","24"," 985.7","24","999.9"," 0","999.9"," 0","  4.1","24","  8.9","999.9","  33.4"," ","  24.1"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-08","64.1333333","-21.9","53.0","REYKJAVIK, IC","  34.8","24","  27.3","24"," 979.3","24","999.9"," 0","999.9"," 0"," 11.6","24"," 15.9","999.9","  37.4","*","  31.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-09","64.1333333","-21.9","53.0","REYKJAVIK, IC","  30.9","24","  23.5","24"," 989.6","24","999.9"," 0","999.9"," 0"," 13.6","24"," 20.0","999.9","  32.7"," ","  26.2"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-10","64.1333333","-21.9","53.0","REYKJAVIK, IC","  33.6","24","  23.3","24"," 986.5","24","999.9"," 0","999.9"," 0","  5.1","24"," 11.1","999.9","  38.8"," ","  25.5"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-11","64.1333333","-21.9","53.0","REYKJAVIK, IC","  28.3","24","  19.7","24"," 989.7","24","999.9"," 0","999.9"," 0","  2.7","24","  8.0","999.9","  36.0"," ","  22.8"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-12","64.1333333","-21.9","53.0","REYKJAVIK, IC","  29.5","23","  17.2","23"," 996.1","23","999.9"," 0","999.9"," 0","  6.3","23"," 11.1","999.9","  32.4"," ","  25.9"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-13","64.1333333","-21.9","53.0","REYKJAVIK, IC","  28.0","24","  17.6","24","1002.5","24","999.9"," 0","999.9"," 0","  7.5","24","  9.9","999.9","  32.7"," ","  25.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-14","64.1333333","-21.9","53.0","REYKJAVIK, IC","  20.1","24","   7.2","24","1005.6","24","999.9"," 0","999.9"," 0","  3.4","24","  7.0","999.9","  27.0"," ","  12.2"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-15","64.1333333","-21.9","53.0","REYKJAVIK, IC","  14.2","24","   3.9","24","1006.5","24","999.9"," 0","999.9"," 0","  4.9","24","  8.0","999.9","  18.1","*","  11.1"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-16","64.1333333","-21.9","53.0","REYKJAVIK, IC","  19.2","24","   9.4","24","1001.2","24","999.9"," 0","999.9"," 0","  3.6","24","  8.0","999.9","  28.4"," ","  11.1"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-17","64.1333333","-21.9","53.0","REYKJAVIK, IC","  24.8","24","  17.2","24","1007.3","24","999.9"," 0","999.9"," 0","  4.4","24","  8.0","999.9","  30.4"," ","  16.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-18","64.1333333","-21.9","53.0","REYKJAVIK, IC","  14.1","24","   5.1","24","1009.7","24","999.9"," 0","999.9"," 0","  2.9","24","  7.0","999.9","  18.7"," ","  10.6"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-19","64.1333333","-21.9","53.0","REYKJAVIK, IC","  20.0","24","  11.0","24","1009.1","23","999.9"," 0","999.9"," 0","  5.5","24"," 15.0","999.9","  32.2"," ","  11.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-20","64.1333333","-21.9","53.0","REYKJAVIK, IC","  39.9","24","  36.1","24"," 988.6","24","999.9"," 0","999.9"," 0"," 15.9","24"," 25.1","999.9","  44.2"," ","  32.0"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-21","64.1333333","-21.9","53.0","REYKJAVIK, IC","  36.4","23","  32.7","23"," 984.4","23","999.9"," 0","999.9"," 0","  6.8","23"," 14.0","999.9","  42.3"," ","  33.1"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-22","64.1333333","-21.9","53.0","REYKJAVIK, IC","  30.5","24","  22.1","24"," 994.5","24","999.9"," 0","999.9"," 0"," 20.8","24"," 32.1","999.9","  34.2"," ","  25.0"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-23","64.1333333","-21.9","53.0","REYKJAVIK, IC","  28.4","24","  19.6","24","1014.2","24","999.9"," 0","999.9"," 0","  5.5","24"," 14.0","999.9","  33.6"," ","  23.2"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-24","64.1333333","-21.9","53.0","REYKJAVIK, IC","  39.0","24","  35.6","24","1001.1","23","999.9"," 0","999.9"," 0","  8.6","24"," 18.1","999.9","  42.3"," ","  32.0"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-25","64.1333333","-21.9","53.0","REYKJAVIK, IC","  33.9","24","  28.4","24","1026.5","24","999.9"," 0","999.9"," 0","  8.7","24"," 18.1","999.9","  38.1"," ","  30.0"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-26","64.1333333","-21.9","53.0","REYKJAVIK, IC","  42.5","23","  38.5","23","1014.2","23","999.9"," 0","999.9"," 0"," 14.7","23"," 22.9","999.9","  46.0"," ","  36.3"," "," 0.00","I","999.9","000000"
"04130099999","2023-01-27","64.1333333","-21.9","53.0","REYKJAVIK, IC","  35.1","24","  26.9","24","1006.3","24","999.9"," 0","999.9"," 0"," 17.0","24"," 26.0","999.9","  37.2"," ","  30.2"," "," 0.00","I","999.9","000000"
