"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03396199999","2023-01-01","53.567","0.117","7.0","SPURN HEAD POINT, UK","  47.8","24","  43.8"," 9","1003.2","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  50.2","*","  45.7","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-02","53.567","0.117","7.0","SPURN HEAD POINT, UK","  40.7","24","  31.3"," 8","1013.9","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  45.0","*","  36.1","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-03","53.567","0.117","7.0","SPURN HEAD POINT, UK","  44.1","24","9999.9"," 0","1014.0","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  52.9","*","  36.9","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-04","53.567","0.117","7.0","SPURN HEAD POINT, UK","  52.4","24","  44.9","17","1005.8","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  54.3","*","  48.6","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-05","53.567","0.117","7.0","SPURN HEAD POINT, UK","  49.4","24","  46.9"," 5","1012.9","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  52.0","*","  45.3","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-06","53.567","0.117","7.0","SPURN HEAD POINT, UK","  46.3","24","9999.9"," 0","1008.6","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  51.4","*","  43.2","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-07","53.567","0.117","7.0","SPURN HEAD POINT, UK","  49.9","24","  49.7"," 5"," 995.5","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  52.5","*","  44.2","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-08","53.567","0.117","7.0","SPURN HEAD POINT, UK","  44.3","24","9999.9"," 0"," 988.3","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  47.5","*","  41.4","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-09","53.567","0.117","7.0","SPURN HEAD POINT, UK","  42.5","24","  39.8","11"," 995.8","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  46.6","*","  39.6","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-10","53.567","0.117","7.0","SPURN HEAD POINT, UK","  45.7","24","9999.9"," 0","1001.8","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  54.5","*","  39.9","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-11","53.567","0.117","7.0","SPURN HEAD POINT, UK","  45.9","24","  39.0","23","1000.5","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  50.4","*","  44.1","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-12","53.567","0.117","7.0","SPURN HEAD POINT, UK","  48.4","24","  37.3"," 9"," 994.2","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  53.1","*","  44.8","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-13","53.567","0.117","7.0","SPURN HEAD POINT, UK","  46.0","24","  38.2","24"," 999.6","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  48.2","*","  43.0","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-14","53.567","0.117","7.0","SPURN HEAD POINT, UK","  44.4","24","  35.4","13"," 993.7","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  50.7","*","  40.8","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-15","53.567","0.117","7.0","SPURN HEAD POINT, UK","  40.3","24","  32.6"," 9"," 991.4","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  43.9","*","  38.1","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-16","53.567","0.117","7.0","SPURN HEAD POINT, UK","  35.2","24","  24.7"," 8"," 986.0","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  38.8","*","  28.2","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-17","53.567","0.117","7.0","SPURN HEAD POINT, UK","  30.4","24","  27.9"," 4"," 987.1","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  35.4","*","  26.6","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-18","53.567","0.117","7.0","SPURN HEAD POINT, UK","  35.0","24","  29.9","13"," 993.6","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  40.1","*","  32.0","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-19","53.567","0.117","7.0","SPURN HEAD POINT, UK","  33.5","24","  30.5"," 7","1004.7","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  37.9","*","  29.3","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-20","53.567","0.117","7.0","SPURN HEAD POINT, UK","  38.5","24","  36.7"," 8","1017.1","24","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  42.8","*","  33.4","*"," 0.00","I","999.9","000000"
"03396199999","2023-01-21","53.567","0.117","7.0","SPURN HEAD POINT, UK","  38.5","23","  36.4"," 7","1032.5","23","999.9"," 0","999.9"," 0","999.9"," 0","999.9","999.9","  42.4","*","  34.9","*"," 0.00","I","999.9","000000"
