"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01311099999","2023-01-01","60.293386","5.218142","51.81","FLESLAND, NO","  26.1","24","  23.8","24","9999.9"," 0","999.9"," 0","  5.9","24","  2.1","24","  5.1","999.9","  30.2","*","  22.6"," "," 0.00","I","999.9","000000"
"01311099999","2023-01-02","60.293386","5.218142","51.81","FLESLAND, NO","  27.3","24","  23.1","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.2","24","  4.1","999.9","  30.2","*","  23.0","*"," 0.00","I","999.9","000000"
"01311099999","2023-01-03","60.293386","5.218142","51.81","FLESLAND, NO","  34.3","24","  27.6","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.2","24"," 13.0"," 19.8","  41.0","*","  24.8","*","99.99"," ","999.9","011000"
"01311099999","2023-01-04","60.293386","5.218142","51.81","FLESLAND, NO","  39.3","24","  31.0","24","9999.9"," 0","999.9"," 0","  6.1","24","  7.6","24"," 13.0"," 22.9","  42.8","*","  32.0","*","99.99"," ","999.9","011000"
"01311099999","2023-01-05","60.293386","5.218142","51.81","FLESLAND, NO","  33.5","24","  31.1","24","9999.9"," 0","999.9"," 0","  5.5","24","  9.3","24"," 22.0"," 25.8","  39.2","*","  31.3"," ","99.99"," ","999.9","011000"
"01311099999","2023-01-06","60.293386","5.218142","51.81","FLESLAND, NO","  39.7","24","  34.6","24","9999.9"," 0","999.9"," 0","  5.7","24"," 16.4","24"," 22.0"," 33.0","  46.4","*","  35.6","*","99.99"," ","999.9","010000"
"01311099999","2023-01-07","60.293386","5.218142","51.81","FLESLAND, NO","  44.5","24","  41.5","24","9999.9"," 0","999.9"," 0","  5.9","24"," 14.7","24"," 22.9"," 29.1","  46.6"," ","  41.9"," ","99.99"," ","999.9","010000"
"01311099999","2023-01-08","60.293386","5.218142","51.81","FLESLAND, NO","  43.9","24","  41.0","24","9999.9"," 0","999.9"," 0","  6.1","24"," 15.2","24"," 22.0"," 31.1","  45.0"," ","  42.1"," ","99.99"," ","999.9","010000"
"01311099999","2023-01-09","60.293386","5.218142","51.81","FLESLAND, NO","  41.8","24","  37.8","24","9999.9"," 0","999.9"," 0","  6.2","24","  9.7","24"," 17.1"," 18.5","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"01311099999","2023-01-10","60.293386","5.218142","51.81","FLESLAND, NO","  42.5","24","  38.7","24","9999.9"," 0","999.9"," 0","  6.2","24"," 13.4","24"," 21.0"," 31.1","  45.1"," ","  41.0","*","99.99"," ","999.9","011000"
"01311099999","2023-01-11","60.293386","5.218142","51.81","FLESLAND, NO","  44.0","24","  39.3","24","9999.9"," 0","999.9"," 0","  5.9","24"," 20.2","24"," 25.3"," 42.0","  46.4","*","  42.1"," ","99.99"," ","999.9","010000"
"01311099999","2023-01-12","60.293386","5.218142","51.81","FLESLAND, NO","  41.2","24","  38.5","24","9999.9"," 0","999.9"," 0","  6.2","24","  7.7","24"," 14.0"," 27.2","  44.6","*","  37.4","*","99.99"," ","999.9","110000"
"01311099999","2023-01-13","60.293386","5.218142","51.81","FLESLAND, NO","  35.9","24","  33.9","24","9999.9"," 0","999.9"," 0","  6.2","24","  2.8","24","  6.0","  9.7","  39.2","*","  28.4","*","99.99"," ","999.9","010000"
