"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03673399999","2023-01-01","51.874722","-0.368333","160.32","LUTON, UK","  47.6","24","  45.5","24","9999.9"," 0","999.9"," 0","  6.2","24"," 10.3","24"," 15.9"," 28.0","  50.0","*","  42.8","*","99.99"," ","999.9","010000"
"03673399999","2023-01-02","51.874722","-0.368333","160.32","LUTON, UK","  40.5","24","  39.3","24","9999.9"," 0","999.9"," 0","  6.2","24","  6.6","24"," 11.1","999.9","  44.6","*","  33.8","*"," 0.00","I","999.9","000000"
"03673399999","2023-01-03","51.874722","-0.368333","160.32","LUTON, UK","  45.0","24","  44.4","24","9999.9"," 0","999.9"," 0","  4.2","24"," 10.3","24"," 15.9"," 27.0","  53.6","*","  35.6","*","99.99"," ","999.9","110000"
"03673399999","2023-01-04","51.874722","-0.368333","160.32","LUTON, UK","  51.9","24","  48.7","24","9999.9"," 0","999.9"," 0","  6.0","24"," 18.7","24"," 25.1"," 36.9","  55.4","*","  48.2","*","99.99"," ","999.9","010000"
"03673399999","2023-01-05","51.874722","-0.368333","160.32","LUTON, UK","  49.8","24","  47.4","24","9999.9"," 0","999.9"," 0","  5.5","24"," 11.4","24"," 15.9"," 24.1","  53.6","*","  48.2","*","99.99"," ","999.9","010000"
"03673399999","2023-01-06","51.874722","-0.368333","160.32","LUTON, UK","  47.3","24","  44.7","24","9999.9"," 0","999.9"," 0","  6.1","24"," 11.3","24"," 22.0"," 34.0","  51.8","*","  41.0","*","99.99"," ","999.9","010000"
"03673399999","2023-01-07","51.874722","-0.368333","160.32","LUTON, UK","  48.6","24","  45.6","24","9999.9"," 0","999.9"," 0","  5.9","24"," 14.7","24"," 19.0"," 32.1","  51.8","*","  42.8","*","99.99"," ","999.9","010000"
"03673399999","2023-01-08","51.874722","-0.368333","160.32","LUTON, UK","  42.0","24","  39.8","24","9999.9"," 0","999.9"," 0","  6.0","24"," 10.0","24"," 15.9"," 27.0","  44.6","*","  37.4","*","99.99"," ","999.9","010000"
"03673399999","2023-01-09","51.874722","-0.368333","160.32","LUTON, UK","  41.4","24","  36.9","24","9999.9"," 0","999.9"," 0","  6.2","24"," 13.3","24"," 19.0","999.9","  46.4","*","  39.2","*"," 0.00","I","999.9","000000"
"03673399999","2023-01-10","51.874722","-0.368333","160.32","LUTON, UK","  45.5","24","  43.7","24","9999.9"," 0","999.9"," 0","  5.5","24"," 12.3","24"," 19.0"," 31.1","  53.6","*","  37.4","*","99.99"," ","999.9","010000"
"03673399999","2023-01-11","51.874722","-0.368333","160.32","LUTON, UK","  45.5","24","  41.7","24","9999.9"," 0","999.9"," 0","  6.1","24"," 15.6","24"," 22.0"," 31.1","  48.2","*","  42.8","*","99.99"," ","999.9","010000"
"03673399999","2023-01-12","51.874722","-0.368333","160.32","LUTON, UK","  49.3","24","  45.8","24","9999.9"," 0","999.9"," 0","  5.1","24"," 20.5","24"," 28.9"," 41.0","  51.8","*","  42.8","*","99.99"," ","999.9","010000"
"03673399999","2023-01-13","51.874722","-0.368333","160.32","LUTON, UK","  44.0","24","  37.4","24","9999.9"," 0","999.9"," 0","  6.2","24"," 19.4","24"," 28.9"," 39.0","  48.2","*","  41.0","*"," 0.00","I","999.9","000000"
"03673399999","2023-01-14","51.874722","-0.368333","160.32","LUTON, UK","  45.3","24","  42.1","24","9999.9"," 0","999.9"," 0","  5.3","24"," 16.0","24"," 22.9"," 29.9","  51.8","*","  39.2","*","99.99"," ","999.9","010000"
"03673399999","2023-01-15","51.874722","-0.368333","160.32","LUTON, UK","  39.2","24","  34.1","24","9999.9"," 0","999.9"," 0","  6.2","24"," 14.1","24"," 19.0"," 28.9","  44.6","*","  33.8","*"," 0.00","I","999.9","000000"
"03673399999","2023-01-16","51.874722","-0.368333","160.32","LUTON, UK","  34.0","24","  31.6","24","9999.9"," 0","999.9"," 0","  5.9","24","  9.3","24"," 18.1","999.9","  39.2","*","  26.6","*","99.99"," ","999.9","010000"
